Date,Open,High,Low,Close,Volume
8/15/2017,22029.91,22038.92,21971.48,21998.99,67615112
8/16/2017,22031.93,22085.71,22002.47,22024.87,77187344
8/17/2017,21984.74,21984.74,21750.32,21750.73,95965912
8/18/2017,21724.88,21793.35,21641.63,21674.51,103641784
8/21/2017,21671.36,21718.74,21600.34,21703.75,85502752
8/22/2017,21739.78,21912.83,21738.13,21899.89,71556952
8/23/2017,21850.27,21866.66,21808.39,21812.09,68867400
8/24/2017,21839.9,21870.11,21765.82,21783.4,67719336
8/25/2017,21819.08,21906.86,21812.81,21813.67,63934272
8/28/2017,21832.5,21861.49,21767.94,21808.4,69204944
8/29/2017,21718,21879.22,21673.58,21865.37,64586520
8/30/2017,21859.76,21914.26,21839.47,21892.43,73008280
8/31/2017,21936.01,21985.76,21910.5,21948.1,131658352
9/1/2017,21981.77,22038.97,21974.91,21987.56,71060728
9/5/2017,21912.37,21921.09,21709.63,21753.31,90507776
9/6/2017,21815.76,21849.24,21794.07,21807.64,89896832
9/7/2017,21820.38,21850.01,21745.71,21784.78,84964544
9/8/2017,21764.43,21846.63,21731.12,21797.79,77327648
9/11/2017,21927.79,22067.1,21927.79,22057.37,90501048
9/12/2017,22090.56,22134.57,22087.09,22118.86,96089176
9/13/2017,22103.47,22158.18,22095.79,22158.18,78255920
9/14/2017,22144.96,22216.44,22135.26,22203.48,84161896
9/15/2017,22252.44,22275.02,22214.52,22268.34,276388928
9/18/2017,22297.92,22355.62,22283.35,22331.35,81321488
9/19/2017,22349.7,22386.01,22340.71,22370.8,80954800
9/20/2017,22351.38,22413.26,22314.68,22412.59,93616064
9/21/2017,22414.02,22419.51,22356.55,22359.23,80255744
9/22/2017,22334.07,22364.31,22299.58,22349.59,84573792
9/25/2017,22320.47,22359.88,22219.11,22296.09,102604968
9/26/2017,22322.03,22369.35,22279.52,22284.32,79997888
9/27/2017,22330.93,22371.1,22254.93,22340.71,93009424
9/28/2017,22306.83,22394.74,22288.97,22381.2,75651648
9/29/2017,22358.47,22405.63,22332.96,22405.09,88016512
10/2/2017,22423.47,22559.38,22416,22557.6,74048120
10/3/2017,22564.45,22646.32,22562.9,22641.67,60991248
10/4/2017,22645.67,22685.94,22632.8,22661.64,66049748
10/5/2017,22669.08,22777.04,22655.14,22775.39,66902248
10/6/2017,22762.03,22773.67,22730.85,22773.67,63604172
10/9/2017,22779.73,22803.37,22739.38,22761.07,74918584
10/10/2017,22784.76,22850.51,22770.99,22830.68,78343496
10/11/2017,22827.65,22872.89,22821.66,22872.89,86708128
10/12/2017,22854.85,22884.82,22821.13,22841.01,76255584
10/13/2017,22876.43,22905.33,22855.93,22871.72,74683112
10/16/2017,22892.92,22960.12,22887.12,22956.96,64929120
10/17/2017,22952.41,23002.2,22948.23,22997.44,65931468
10/18/2017,23087.13,23172.93,23086.75,23157.6,64837552
10/19/2017,23107.47,23167.24,23052.67,23163.04,86222768
10/20/2017,23205.18,23328.84,23201.78,23328.63,128229232
10/23/2017,23348.95,23368.37,23273.96,23273.96,109474336
10/24/2017,23346.78,23485.25,23343.23,23441.76,88155504
10/25/2017,23431.09,23451.51,23251.11,23329.46,102606224
10/26/2017,23380.89,23459.84,23380.89,23400.86,89231720
10/27/2017,23419.16,23449.4,23353.16,23434.19,127750248
10/30/2017,23405.75,23428.75,23327.87,23348.74,107582208
10/31/2017,23369.22,23406.35,23334.39,23377.24,110803456
11/1/2017,23442.9,23517.71,23388.91,23435.01,90304176
11/2/2017,23463.24,23531.38,23350.98,23516.26,87301864
11/3/2017,23549.59,23557.06,23481.57,23539.19,78599064
11/6/2017,23533.96,23574.86,23520.75,23548.42,87854528
11/7/2017,23574.03,23602.12,23484.19,23557.23,76931408
11/8/2017,23542.6,23575,23510.56,23563.36,72774608
11/9/2017,23492.09,23516.74,23310.02,23461.94,79675824
11/10/2017,23432.71,23452.2,23392.96,23422.21,88393136
11/13/2017,23367.47,23461.68,23343.34,23439.7,109022184
11/14/2017,23388.4,23414.08,23271.57,23409.47,123259752
11/15/2017,23334.59,23344.99,23242.75,23271.28,97854296
11/16/2017,23365.34,23492.19,23365.34,23458.36,93734208
11/17/2017,23433.77,23433.77,23356.01,23358.24,106204512
11/20/2017,23370.71,23456.88,23360.58,23430.33,80004992
11/21/2017,23500.15,23617.8,23500.15,23590.83,92484576
11/22/2017,23597.24,23605.77,23507.61,23526.18,71066720
11/24/2017,23552.75,23599.18,23551.59,23557.99,36736260
11/27/2017,23552.86,23638.92,23545.02,23580.78,84998832
11/28/2017,23625.19,23849.61,23617.11,23836.71,87841728
11/29/2017,23883.26,23959.76,23872.59,23940.68,105143960
11/30/2017,24013.8,24327.82,24013.8,24272.35,169737200
12/1/2017,24305.4,24322.06,23921.9,24231.59,123385088
12/4/2017,24424.11,24534.04,24288.19,24290.05,117002352
12/5/2017,24335.01,24349.74,24155.28,24180.64,111255472
12/6/2017,24171.9,24229.35,24134.49,24140.91,94424800
12/7/2017,24116.6,24262.88,24101.24,24211.48,85456936
12/8/2017,24263.26,24330.12,24225.5,24329.16,81472216
12/11/2017,24338.11,24389.72,24314.74,24386.03,84768184
12/12/2017,24452.96,24552.97,24443.83,24504.8,102133696
12/13/2017,24525.19,24666.02,24518.3,24585.43,93784376
12/14/2017,24631.01,24672.48,24508.66,24508.66,84753592
12/15/2017,24585.71,24688.62,24584.44,24651.74,317292512
12/18/2017,24739.56,24876.07,24739.56,24792.2,107452160
12/19/2017,24834.38,24850.11,24715.6,24754.75,99474688
12/20/2017,24838.09,24852.44,24697.11,24726.65,99104128
12/21/2017,24778.26,24850.91,24766.27,24782.29,101366032
12/22/2017,24764.04,24784.15,24717.51,24754.06,78610392
12/26/2017,24715.84,24778.13,24708.42,24746.21,59958120
12/27/2017,24766.52,24789.52,24731.68,24774.3,60501912
12/28/2017,24807.21,24839.23,24797.13,24837.51,50944696
12/29/2017,24849.63,24871.66,24719.22,24719.22,99506544
1/2/2018,24809.35,24864.19,24741.7,24824.01,93837856
1/3/2018,24850.45,24941.92,24825.55,24922.68,113120472
1/4/2018,24964.86,25105.96,24963.27,25075.13,101492432
1/5/2018,25114.92,25299.79,25112.01,25295.87,99171640
1/8/2018,25308.4,25311.99,25235.41,25283,97611920
1/9/2018,25312.05,25439.78,25308.41,25385.8,88515640
1/10/2018,25348.13,25404.92,25256.99,25369.13,88364144
1/11/2018,25398.6,25575.42,25396.19,25574.73,90362032
1/12/2018,25638.39,25810.43,25633.08,25803.19,103878720
1/16/2018,25987.62,26086.12,25702.99,25792.86,171084224
1/17/2018,25910.78,26130.45,25865.02,26115.65,133700112
1/18/2018,26149.55,26153.42,25947.32,26017.81,122449616
1/19/2018,25987.35,26071.72,25942.83,26071.72,171541424
1/22/2018,26025.32,26215.23,25974.65,26214.6,126357768
1/23/2018,26214.87,26246.19,26143.9,26210.81,109272288
1/24/2018,26282.07,26392.8,26106.94,26252.12,123271104
1/25/2018,26313.06,26458.25,26259.72,26392.79,95732448
1/26/2018,26466.74,26616.71,26425.35,26616.71,123610888
1/29/2018,26584.28,26608.9,26435.34,26439.48,110919888
1/30/2018,26198.45,26256.99,26028.42,26076.89,111840144
1/31/2018,26268.17,26338.03,26050.98,26149.39,140120144
2/1/2018,26083.04,26306.7,26014.44,26186.71,111586352
2/2/2018,26061.79,26061.79,25490.66,25520.96,140879408
2/5/2018,25337.87,25520.53,23923.88,24345.75,210835440
2/6/2018,24085.17,24946.23,23778.74,24912.77,231326304
2/7/2018,24892.87,25293.96,24785.44,24893.35,146600464
2/8/2018,24902.3,24903.68,23849.23,23860.46,179770672
2/9/2018,23992.67,24382.14,23360.29,24190.9,198760880
2/12/2018,24337.76,24765.16,24290.48,24601.27,149693824
2/13/2018,24540.33,24705.72,24421.03,24640.45,99077712
2/14/2018,24535.82,24925.95,24490.36,24893.49,114401024
2/15/2018,25047.82,25203.95,24809.42,25200.37,110581240
2/16/2018,25165.94,25432.42,25149.26,25219.38,127026632
2/20/2018,25124.91,25179.01,24884.19,24964.75,103980552
2/21/2018,24988.06,25267.99,24792.99,24797.78,124434712
2/22/2018,24855.41,25156.72,24854.83,24962.48,96386776
2/23/2018,25050.51,25313.91,25028.73,25309.99,91399808
2/26/2018,25403.35,25732.8,25398.56,25709.27,123397944
2/27/2018,25735.78,25800.35,25407.83,25410.03,119203008
2/28/2018,25485.15,25576.15,25022.42,25029.2,135532448
3/1/2018,25024.04,25185.35,24442.56,24608.98,135695648
3/2/2018,24394.91,24592.46,24217.76,24538.06,120190200
3/5/2018,24471.31,24961,24387.15,24874.76,105004560
3/6/2018,24965.89,24995.24,24708.41,24884.12,93405184
3/7/2018,24758.15,24849.68,24535.12,24801.36,102300008
3/8/2018,24853.41,24950.49,24703.05,24895.21,88846864
3/9/2018,25004.89,25336.33,25004.89,25335.74,102187552
3/12/2018,25372.44,25449.15,25152.02,25178.61,99533760
3/13/2018,25257.75,25376.4,24947.5,25007.03,110511776
3/14/2018,25086.97,25130.12,24668.83,24758.12,102684624
3/15/2018,24837.29,25053.87,24753.29,24873.66,90799352
3/16/2018,24877.34,25031,24857.09,24946.51,349358784
3/19/2018,24893.69,24893.69,24453.14,24610.91,115809088
3/20/2018,24650.64,24803.61,24650.64,24727.27,95064184
3/21/2018,24723.49,24977.65,24655.4,24682.31,97199392
3/22/2018,24526.01,24526.01,23938.74,23957.89,125157352
3/23/2018,23995.18,24108.47,23509.06,23533.2,140958256
3/26/2018,23825.74,24232.3,23741.22,24202.6,143708176
3/27/2018,24276.62,24446.22,23708.73,23857.71,143578704
3/28/2018,23883.08,24092.47,23728.67,23848.42,144364304
3/29/2018,23949.18,24314.3,23928.13,24103.11,164787520
4/2/2018,24076.6,24123.8,23344.52,23644.19,154073104
4/3/2018,23698.33,24044.35,23664.33,24033.36,115983168
4/4/2018,23654.15,24308.96,23523.16,24264.3,113330128
4/5/2018,24313.91,24622.26,24313.91,24505.22,100243040
4/6/2018,24373.6,24434.4,23738.2,23932.76,116689928
4/9/2018,24037.52,24373.18,23954.83,23979.1,117434656
4/10/2018,24198.95,24511.35,24198.95,24408,109322408
4/11/2018,24274.19,24366.57,24150.87,24189.45,78547768
4/12/2018,24302.82,24592.12,24302.82,24483.05,94168456
4/13/2018,24582.82,24646.45,24243.74,24360.14,85816528
4/16/2018,24483.15,24675.36,24480.2,24573.04,85438152
4/17/2018,24681.79,24858.97,24681.79,24786.63,87219104
4/18/2018,24820.85,24832.54,24721.09,24748.07,77454816
4/19/2018,24711.3,24762.48,24557.03,24664.89,99210024
4/20/2018,24657.39,24678.07,24375.04,24462.94,160586400
4/23/2018,24488.07,24536.89,24328.54,24448.69,104562160
4/24/2018,24579.94,24579.94,23828.73,24024.13,122367992
4/25/2018,24070.2,24146.34,23823.08,24083.83,114897536
4/26/2018,24128.72,24402.46,24128.72,24322.34,107519368
4/27/2018,24342.14,24359.38,24194.45,24311.19,97712952
4/30/2018,24410.41,24498.23,24163.08,24163.15,127068496
5/1/2018,24117.29,24117.29,23808.19,24099.05,99079536
5/2/2018,24097.63,24185.52,23886.3,23924.98,105000072
5/3/2018,23836.23,23996.15,23531.31,23930.15,111490712
5/4/2018,23865.22,24333.35,23778.87,24262.51,93759520
5/7/2018,24317.66,24479.45,24263.42,24357.32,81305952
5/8/2018,24341.35,24412.34,24198.34,24360.21,94052520
5/9/2018,24399.18,24586.48,24323.87,24542.54,92958016
5/10/2018,24591.66,24794.99,24575.91,24739.53,81118512
5/11/2018,24758.64,24868.65,24717.5,24831.17,83038152
5/14/2018,24879.37,24994.19,24862.52,24899.41,80259936
5/15/2018,24809.55,24809.55,24629.39,24706.41,90590392
5/16/2018,24722.32,24801.19,24672.79,24768.93,79616480
5/17/2018,24752.4,24839.49,24639.4,24713.98,78491888
5/18/2018,24707.72,24774.97,24664.87,24715.09,83546264
5/21/2018,24883.06,25086.49,24883.06,25013.29,82238456
5/22/2018,25047.55,25064.99,24812.06,24834.41,78549624
5/23/2018,24757.71,24889.46,24667.12,24886.81,113441560
5/24/2018,24877.36,24877.36,24605.9,24811.76,93461632
5/25/2018,24781.29,24824.22,24687.81,24753.09,72276784
5/29/2018,24606.59,24635.18,24247.84,24361.45,120239544
5/30/2018,24467.83,24714.48,24459.09,24667.78,92477024
5/31/2018,24620.79,24620.79,24352.15,24415.84,164421232
6/1/2018,24542.09,24673.6,24542.09,24635.21,85411824
6/4/2018,24727.55,24859.37,24722.14,24813.69,84598568
6/5/2018,24820.12,24838.78,24710.82,24799.98,83878808
6/6/2018,24854.14,25146.46,24854.14,25146.39,96312176
6/7/2018,25192.14,25326.09,25164.48,25241.41,99031160
6/8/2018,25209.29,25325.63,25165.7,25316.53,97049840
6/11/2018,25336.67,25402.83,25290.2,25322.31,81025408
